Season,First team,First team,Second team,Second team,Third team,Third team
2013–14,Chris Paul^ (6),Los Angeles Clippers,Tony Parker* (4),San Antonio Spurs,Damian Lillard^,Portland Trail Blazers
2014–15,LeBron James^ (11),Cleveland Cavaliers,LaMarcus Aldridge† (3),Portland Trail Blazers,Blake Griffin^ (4),Los Angeles Clippers
2014–15,Anthony Davis^,New Orleans Pelicans,Pau Gasol* (4),Chicago Bulls,Tim Duncan* (15),San Antonio Spurs
2014–15,Marc Gasol† (2),Memphis Grizzlies,DeMarcus Cousins†,Sacramento Kings,DeAndre Jordan^,Los Angeles Clippers
2014–15,James Harden^ (3),Houston Rockets,Russell Westbrook^ (4),Oklahoma City Thunder,Klay Thompson^,Golden State Warriors
2014–15,Stephen Curry^ (2),Golden State Warriors,Chris Paul^ (7),Los Angeles Clippers,Kyrie Irving^,Cleveland Cavaliers
2015–16,Kawhi Leonard^,San Antonio Spurs,Kevin Durant^ (6),Oklahoma City Thunder,Paul George^ (3),Indiana Pacers
2015–16,LeBron James^ (12),Cleveland Cavaliers,Draymond Green^,Golden State Warriors,LaMarcus Aldridge† (4),San Antonio Spurs
2015–16,DeAndre Jordan^ (2),Los Angeles Clippers,DeMarcus Cousins† (2),Sacramento Kings,Andre Drummond^,Detroit Pistons
2015–16,Stephen Curry^ (3),Golden State Warriors,Damian Lillard^ (2),Portland Trail Blazers,Klay Thompson^ (2),Golden State Warriors
2015–16,Russell Westbrook^ (5),Oklahoma City Thunder,Chris Paul^ (8),Los Angeles Clippers,Kyle Lowry^,Toronto Raptors
2016–17,Kawhi Leonard^ (2),San Antonio Spurs,Kevin Durant^ (7),Golden State Warriors,Jimmy Butler^,Chicago Bulls
2016–17,LeBron James^ (13),Cleveland Cavaliers,Giannis Antetokounmpo^,Milwaukee Bucks,Draymond Green^ (2),Golden State Warriors
2016–17,Anthony Davis^ (2),New Orleans Pelicans,Rudy Gobert^,Utah Jazz,DeAndre Jordan^ (3),Los Angeles Clippers
2016–17,James Harden^ (4),Houston Rockets,Stephen Curry^ (4),Golden State Warriors,John Wall^,Washington Wizards
2016–17,Russell Westbrook^ (6),Oklahoma City Thunder,Isaiah Thomas†,Boston Celtics,DeMar DeRozan^,Toronto Raptors
2017–18,Kevin Durant^ (8),Golden State Warriors,LaMarcus Aldridge† (5),San Antonio Spurs,Jimmy Butler^ (2),Minnesota Timberwolves
2017–18,LeBron James^ (14),Cleveland Cavaliers,Giannis Antetokounmpo^ (2),Milwaukee Bucks,Paul George^ (4),Oklahoma City Thunder
2017–18,Anthony Davis^ (3),New Orleans Pelicans,Joel Embiid^,Philadelphia 76ers,Karl-Anthony Towns^,Minnesota Timberwolves
2017–18,James Harden^ (5),Houston Rockets,DeMar DeRozan^ (2),Toronto Raptors,Victor Oladipo^,Indiana Pacers
2017–18,Damian Lillard^ (3),Portland Trail Blazers,Russell Westbrook^ (7),Oklahoma City Thunder,Stephen Curry^ (5),Golden State Warriors
2018–19,Giannis Antetokounmpo^ (3),Milwaukee Bucks,Kevin Durant^ (9),Golden State Warriors,Blake Griffin^ (5),Detroit Pistons
2018–19,Paul George^ (5),Oklahoma City Thunder,Kawhi Leonard^ (3),Toronto Raptors,LeBron James^ (15),Los Angeles Lakers
2018–19,Nikola Jokić^,Denver Nuggets,Joel Embiid^ (2),Philadelphia 76ers,Rudy Gobert^ (2),Utah Jazz
2018–19,James Harden^ (6),Houston Rockets,Damian Lillard^ (4),Portland Trail Blazers,Russell Westbrook^ (8),Oklahoma City Thunder
2018–19,Stephen Curry^ (6),Golden State Warriors,Kyrie Irving^ (2),Boston Celtics,Kemba Walker^,Charlotte Hornets
2019–20,LeBron James^ (16),Los Angeles Lakers,Kawhi Leonard^ (4),Los Angeles Clippers,Jimmy Butler^ (3),Miami Heat
2019–20,Giannis Antetokounmpo^ (4),Milwaukee Bucks,Pascal Siakam^,Toronto Raptors,Jayson Tatum^,Boston Celtics
2019–20,Anthony Davis^ (4),Los Angeles Lakers,Nikola Jokić^ (2),Denver Nuggets,Rudy Gobert^ (3),Utah Jazz
2019–20,James Harden^ (7),Houston Rockets,Damian Lillard^ (5),Portland Trail Blazers,Ben Simmons^,Philadelphia 76ers
2019–20,Luka Dončić^,Dallas Mavericks,Chris Paul^ (9),Oklahoma City Thunder,Russell Westbrook^ (9),Houston Rockets
2020–21,Giannis Antetokounmpo^ (5),Milwaukee Bucks,LeBron James^ (17),Los Angeles Lakers,Jimmy Butler^ (4),Miami Heat
2020–21,Kawhi Leonard^ (5),Los Angeles Clippers,Julius Randle^,New York Knicks,Paul George^ (6),Los Angeles Clippers
2020–21,Nikola Jokić^ (3),Denver Nuggets,Joel Embiid^ (3),Philadelphia 76ers,Rudy Gobert^ (4),Utah Jazz
2020–21,Stephen Curry^ (7),Golden State Warriors,Damian Lillard^ (6),Portland Trail Blazers,Bradley Beal^,Washington Wizards
2020–21,Luka Dončić^ (2),Dallas Mavericks,Chris Paul^ (10),Phoenix Suns,Kyrie Irving^ (3),Brooklyn Nets
2021–22,Giannis Antetokounmpo^ (6),Milwaukee Bucks,DeMar DeRozan^ (3),Chicago Bulls,LeBron James^ (18),Los Angeles Lakers
2021–22,Jayson Tatum^ (2),Boston Celtics,Kevin Durant^ (10),Brooklyn Nets,Pascal Siakam^ (2),Toronto Raptors
2021–22,Nikola Jokić^ (4),Denver Nuggets,Joel Embiid^ (4),Philadelphia 76ers,Karl-Anthony Towns^ (2),Minnesota Timberwolves
2021–22,Devin Booker^,Phoenix Suns,Stephen Curry^ (8),Golden State Warriors,Chris Paul^ (11),Phoenix Suns
2021–22,Luka Dončić^ (3),Dallas Mavericks,Ja Morant^,Memphis Grizzlies,Trae Young^,Atlanta Hawks
